"NOMBRES MÁS POPULARES DE MUJER, 2021",,,,,,"NOMBRES MÁS POPULARES DE HOMBRE, 2021",,,
LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS,,,LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS
338,REYNA,MUJER,219,,,338,JOSE ADRIAN,HOMBRE,300
339,ROSARIO,MUJER,219,,,339,ANGEL LEONARDO,HOMBRE,297
340,RUTH,MUJER,219,,,340,SANTIAGO DE JESUS,HOMBRE,297
341,MARIA DEL ROSARIO,MUJER,218,,,341,CARLOS ANTONIO,HOMBRE,296
342,MARIA RENATA,MUJER,218,,,342,JUAN DE DIOS,HOMBRE,296
343,ANGELA VICTORIA,MUJER,217,,,343,LUIS MIGUEL,HOMBRE,295
344,BRIANA,MUJER,216,,,344,MAURO,HOMBRE,293
345,MAGALY,MUJER,214,,,345,ANGEL EMILIANO,HOMBRE,292
346,YAMILETH GUADALUPE,MUJER,213,,,346,CAMILO,HOMBRE,292
347,LUISA,MUJER,212,,,347,JORGE ALBERTO,HOMBRE,292
348,SARAH,MUJER,212,,,348,JOSE GABRIEL,HOMBRE,292
349,ALICE,MUJER,210,,,349,AXEL TADEO,HOMBRE,291
350,LORENA,MUJER,210,,,350,ANGEL ALEXANDER,HOMBRE,289
351,MAITE,MUJER,210,,,351,IGNACIO,HOMBRE,289
352,VALERY,MUJER,209,,,352,LIAM SEBASTIAN,HOMBRE,289
353,EMMA LUCIA,MUJER,208,,,353,CARLOS DAMIAN,HOMBRE,288
354,MELODY,MUJER,208,,,354,VICTOR HUGO,HOMBRE,285
355,NICOL,MUJER,208,,,355,IKER TADEO,HOMBRE,283
356,ROCIO,MUJER,208,,,356,RAMON,HOMBRE,283
357,HANNIA,MUJER,207,,,357,HUMBERTO,HOMBRE,281
358,IRENE,MUJER,206,,,358,BERNARDO,HOMBRE,280
359,ANA LUISA,MUJER,205,,,359,MIGUEL ALEJANDRO,HOMBRE,279
360,EVELYN GUADALUPE,MUJER,205,,,360,ELEAZAR,HOMBRE,278
361,JOSEFINA,MUJER,205,,,361,ALAN DANIEL,HOMBRE,274
362,ARLET,MUJER,203,,,362,CRISTIAN GAEL,HOMBRE,272
363,EMILY VICTORIA,MUJER,203,,,363,CARLOS DAVID,HOMBRE,271
364,MARIA EMILIA,MUJER,202,,,364,TOMAS,HOMBRE,271
365,DANNA VALERIA,MUJER,201,,,365,CARLOS ADRIAN,HOMBRE,270
366,GALILEA,MUJER,201,,,366,LUIS ADRIAN,HOMBRE,269
367,MIA ELIZABETH,MUJER,201,,,367,DILAN GAEL,HOMBRE,267
368,PALOMA,MUJER,201,,,368,LUIS CARLOS,HOMBRE,267
369,DAMARIS,MUJER,200,,,369,RIGOBERTO,HOMBRE,267
370,DANIELA SOFIA,MUJER,200,,,370,MATEO SEBASTIAN,HOMBRE,264
371,MARLENE,MUJER,200,,,371,DANILO,HOMBRE,261
372,MIA ALEJANDRA,MUJER,199,,,372,DEREK,HOMBRE,261
373,AMAIRANI,MUJER,198,,,373,GERMAN,HOMBRE,261
374,AMALIA,MUJER,197,,,374,ADOLFO,HOMBRE,260
375,JULIANA,MUJER,197,,,375,LEANDRO,HOMBRE,260
376,RENATA SOFIA,MUJER,197,,,376,JESUS MIGUEL,HOMBRE,259
377,SOFIA FERNANDA,MUJER,197,,,377,JESUS SEBASTIAN,HOMBRE,255
378,ALEXA YAMILETH,MUJER,196,,,378,LUIS ALEXANDER,HOMBRE,255
379,BEATRIZ,MUJER,196,,,379,JESUS GUADALUPE,HOMBRE,254
380,KARLA GUADALUPE,MUJER,196,,,380,LEO,HOMBRE,254
381,MARICRUZ,MUJER,195,,,381,SANTIAGO ALEXANDER,HOMBRE,254
382,ARIZBETH,MUJER,194,,,382,ANGEL IVAN,HOMBRE,253
383,YARITZA,MUJER,194,,,383,BRAULIO,HOMBRE,253
384,ARELI,MUJER,193,,,384,ELIAN GAEL,HOMBRE,253
385,ARIANNA,MUJER,193,,,385,LIAM GABRIEL,HOMBRE,253
386,JUDITH,MUJER,193,,,386,LIAM ZAID,HOMBRE,253
387,MARIA ELIZABETH,MUJER,193,,,387,RENE,HOMBRE,252
388,MELANY GUADALUPE,MUJER,193,,,388,SANTIAGO DANIEL,HOMBRE,252
389,CARLA,MUJER,192,,,389,DYLAN ALEXIS,HOMBRE,251
390,STEPHANIE,MUJER,192,,,390,GABRIEL ALEJANDRO,HOMBRE,251
391,ALEXA FERNANDA,MUJER,190,,,391,LIAM DAVID,HOMBRE,251
392,BELINDA,MUJER,189,,,392,LUCIANO,HOMBRE,251
393,MAGALI,MUJER,189,,,393,MANUEL ALEJANDRO,HOMBRE,251
394,MARICELA,MUJER,189,,,394,ANGEL ALBERTO,HOMBRE,250
395,ANGELINA,MUJER,188,,,395,JESUS ENRIQUE,HOMBRE,250
396,LIA RENATA,MUJER,188,,,396,IAN EDUARDO,HOMBRE,249
397,MARIA DE LOS ANGELES,MUJER,188,,,397,EDER,HOMBRE,248
398,MARIA MAGDALENA,MUJER,188,,,398,ERICK ALEXANDER,HOMBRE,244
399,SILVIA,MUJER,188,,,399,JAVIER ALEJANDRO,HOMBRE,243
400,SOFIA ABIGAIL,MUJER,187,,,400,JOSE ENRIQUE,HOMBRE,243
401,SOFIA NICOLE,MUJER,187,,,401,MATIAS ALEXANDER,HOMBRE,242
402,DANNA GUADALUPE,MUJER,186,,,402,ANGEL ALEJANDRO,HOMBRE,241
403,ARIANA GUADALUPE,MUJER,185,,,403,ANGEL ALEXIS,HOMBRE,241
404,MAGDALENA,MUJER,185,,,404,IAN ALEXIS,HOMBRE,241
405,MARTINA,MUJER,185,,,405,IKER JESUS,HOMBRE,241
406,ANDREA SOFIA,MUJER,184,,,406,JERONIMO,HOMBRE,241
407,EDITH,MUJER,184,,,407,JUAN MATEO,HOMBRE,240
408,ANA CRISTINA,MUJER,183,,,408,DYLAN EDUARDO,HOMBRE,239
409,GRISELDA,MUJER,183,,,409,ALAN SANTIAGO,HOMBRE,238
410,MAYRA,MUJER,183,,,410,JORGE ANTONIO,HOMBRE,238
411,ANA REGINA,MUJER,182,,,411,JESUS DAMIAN,HOMBRE,237
412,ROSA ISELA,MUJER,182,,,412,JESUS IVAN,HOMBRE,237
413,VICTORIA ELIZABETH,MUJER,182,,,413,JOSE ANDRES,HOMBRE,236
414,SOFIA MICHELLE,MUJER,180,,,414,LUCCA,HOMBRE,236
415,VIRGINIA,MUJER,180,,,415,DIEGO ALBERTO,HOMBRE,235
416,ANA BRENDA,MUJER,179,,,416,ERICK SANTIAGO,HOMBRE,235
417,EVELYN SOFIA,MUJER,179,,,417,LUIS ARMANDO,HOMBRE,235
418,SHERLYN,MUJER,179,,,418,AXEL SANTIAGO,HOMBRE,234
419,ANA FERNANDA,MUJER,178,,,419,JORGE ALEJANDRO,HOMBRE,234
420,PAMELA,MUJER,178,,,420,LIAM EMILIANO,HOMBRE,234
421,SAMANTA,MUJER,178,,,421,PABLO EMILIO,HOMBRE,234
422,ALEXA NICOLE,MUJER,176,,,422,DAMIAN ALEJANDRO,HOMBRE,233
423,AMBAR,MUJER,176,,,423,JESUS ALEXIS,HOMBRE,232
424,SAMADHI,MUJER,176,,,424,IAN DAVID,HOMBRE,230
425,AILYN,MUJER,175,,,425,IAN GABRIEL,HOMBRE,230
426,ASTRID,MUJER,175,,,426,LIAN,HOMBRE,230
427,GEORGINA,MUJER,174,,,427,JOSE ROBERTO,HOMBRE,229
428,MIA YAMILETH,MUJER,174,,,428,ALAN TADEO,HOMBRE,228
429,SAMANTHA GUADALUPE,MUJER,174,,,429,JEREMIAS,HOMBRE,228
430,AINHOA,MUJER,173,,,430,JESUS ARMANDO,HOMBRE,227
,,,,,,,,,
Fuente: INEGI 2021.,,,,,,,,,
