"NOMBRES MÁS POPULARES DE MUJER, 2021",,,,,,"NOMBRES MÁS POPULARES DE HOMBRE, 2021",,,
LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS,,,LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS
73,EMMA SOFIA,MUJER,821,,,73,ROBERTO,HOMBRE,"1,188"
74,ELENA,MUJER,817,,,74,IKER,HOMBRE,"1,184"
75,MICHELLE,MUJER,813,,,75,JORGE,HOMBRE,"1,162"
76,MONSERRAT,MUJER,796,,,76,ANGEL MATEO,HOMBRE,"1,137"
77,ALLISON,MUJER,779,,,77,JOSE,HOMBRE,"1,128"
78,ARLETH,MUJER,779,,,78,JUAN JOSE,HOMBRE,"1,109"
79,NICOLE,MUJER,778,,,79,JUAN MANUEL,HOMBRE,"1,107"
80,MIA ISABELLA,MUJER,774,,,80,PABLO,HOMBRE,"1,105"
81,MARISOL,MUJER,755,,,81,IAN,HOMBRE,"1,101"
82,ADRIANA,MUJER,747,,,82,ARTURO,HOMBRE,"1,081"
83,ISABEL,MUJER,726,,,83,ERICK,HOMBRE,"1,061"
84,AURORA,MUJER,725,,,84,IAN MATEO,HOMBRE,"1,045"
85,DIANA,MUJER,713,,,85,MARCO ANTONIO,HOMBRE,"1,044"
86,ALISON,MUJER,712,,,86,CARLOS DANIEL,HOMBRE,"1,043"
87,ANA MARIA,MUJER,704,,,87,BRAYAN,HOMBRE,"1,042"
88,ARIADNA,MUJER,704,,,88,ISRAEL,HOMBRE,"1,023"
89,CATALINA,MUJER,701,,,89,ANGEL DANIEL,HOMBRE,"1,010"
90,LILIANA,MUJER,697,,,90,BRUNO,HOMBRE,"1,004"
91,PAOLA,MUJER,695,,,91,ESTEBAN,HOMBRE,972
92,JUANA,MUJER,686,,,92,ANGEL TADEO,HOMBRE,963
93,LUCERO,MUJER,671,,,93,SAUL,HOMBRE,947
94,FRIDA SOFIA,MUJER,667,,,94,JESUS ANTONIO,HOMBRE,933
95,MIA VALENTINA,MUJER,660,,,95,OSCAR,HOMBRE,932
96,MIA GUADALUPE,MUJER,659,,,96,THIAGO,HOMBRE,932
97,KARLA,MUJER,657,,,97,OMAR,HOMBRE,920
98,ITZEL,MUJER,653,,,98,EZEQUIEL,HOMBRE,915
99,NAOMI,MUJER,644,,,99,MARTIN,HOMBRE,915
100,JAZMIN,MUJER,638,,,100,GUSTAVO,HOMBRE,906
101,LUZ MARIA,MUJER,634,,,101,KEVIN,HOMBRE,894
102,LIZBETH,MUJER,633,,,102,SALVADOR,HOMBRE,887
103,ESTRELLA,MUJER,631,,,103,ALBERTO,HOMBRE,886
104,ALICIA,MUJER,630,,,104,ALFREDO,HOMBRE,882
105,ALEXANDRA,MUJER,629,,,105,RAUL,HOMBRE,880
106,EMILY SOFIA,MUJER,623,,,106,JESUS TADEO,HOMBRE,874
107,MARIA ISABEL,MUJER,613,,,107,HECTOR,HOMBRE,866
108,MARIA DEL CARMEN,MUJER,611,,,108,MOISES,HOMBRE,866
109,ALEXA GUADALUPE,MUJER,605,,,109,ELIAN,HOMBRE,852
110,PAULA,MUJER,599,,,110,LIAM MATEO,HOMBRE,852
111,YARETZI,MUJER,594,,,111,SERGIO,HOMBRE,850
112,KATHERINE,MUJER,591,,,112,ENRIQUE,HOMBRE,845
113,ROSA,MUJER,577,,,113,JOSE EDUARDO,HOMBRE,843
114,JENNIFER,MUJER,575,,,114,LIAM GAEL,HOMBRE,826
115,MELANIE,MUJER,571,,,115,FRANCISCO JAVIER,HOMBRE,824
116,HANNA,MUJER,570,,,116,JULIO CESAR,HOMBRE,809
117,KAILANI,MUJER,567,,,117,BRANDON,HOMBRE,807
118,GRECIA,MUJER,542,,,118,CESAR,HOMBRE,805
119,SOFIA VALENTINA,MUJER,531,,,119,LIAM SANTIAGO,HOMBRE,803
120,YOSELIN,MUJER,530,,,120,LUIS ANTONIO,HOMBRE,800
121,MARGARITA,MUJER,524,,,121,JESUS ALEJANDRO,HOMBRE,790
122,JULIA,MUJER,522,,,122,JOSE DANIEL,HOMBRE,788
123,DANNA PAOLA,MUJER,520,,,123,VICTOR MANUEL,HOMBRE,784
124,MONTSERRAT,MUJER,520,,,124,IAN ALEXANDER,HOMBRE,780
125,ANTONELLA,MUJER,516,,,125,CALEB,HOMBRE,779
126,MARIA ALEJANDRA,MUJER,510,,,126,DYLAN GAEL,HOMBRE,776
127,KENIA,MUJER,502,,,127,IAN GAEL,HOMBRE,774
128,ROSA MARIA,MUJER,501,,,128,MARIO,HOMBRE,774
129,DANNA,MUJER,500,,,129,ANGEL SANTIAGO,HOMBRE,767
130,YARELI,MUJER,500,,,130,BENJAMIN,HOMBRE,761
131,CONSTANZA,MUJER,498,,,131,DILAN,HOMBRE,759
132,MIA SOFIA,MUJER,497,,,132,LUIS,HOMBRE,753
133,VICTORIA GUADALUPE,MUJER,496,,,133,EMANUEL,HOMBRE,751
134,AITANA GUADALUPE,MUJER,485,,,134,JESUS DANIEL,HOMBRE,741
135,MARIA ELENA,MUJER,484,,,135,JUAN ANTONIO,HOMBRE,741
136,CECILIA,MUJER,481,,,136,ANGEL DAVID,HOMBRE,740
137,SARAHI,MUJER,481,,,137,EDGAR,HOMBRE,734
138,ANGELICA,MUJER,476,,,138,LIAM ALEXANDER,HOMBRE,734
139,AMELIA,MUJER,475,,,139,DANTE,HOMBRE,732
140,EVELIN,MUJER,474,,,140,ISAIAS,HOMBRE,732
141,XIMENA GUADALUPE,MUJER,471,,,141,JESUS ADRIAN,HOMBRE,732
142,MIA VICTORIA,MUJER,470,,,142,ARMANDO,HOMBRE,729
143,VIOLETA,MUJER,468,,,143,FABIAN,HOMBRE,720
144,CAMILA GUADALUPE,MUJER,460,,,144,ADRIEL,HOMBRE,706
145,MAYTE,MUJER,458,,,145,CHRISTOPHER,HOMBRE,706
146,DARIANA,MUJER,452,,,146,JOEL,HOMBRE,702
147,MARIA PAULA,MUJER,452,,,147,CHRISTIAN,HOMBRE,690
148,BARBARA,MUJER,451,,,148,JESUS EDUARDO,HOMBRE,686
149,JADE,MUJER,441,,,149,LUIS ENRIQUE,HOMBRE,682
150,LIA VICTORIA,MUJER,440,,,150,JOSE ALFREDO,HOMBRE,678
151,AITANA SOFIA,MUJER,437,,,151,JOSHUA,HOMBRE,676
152,TANIA,MUJER,432,,,152,JOSE JULIAN,HOMBRE,673
153,MARIA DE JESUS,MUJER,425,,,153,LUIS DANIEL,HOMBRE,673
154,REGINA GUADALUPE,MUJER,424,,,154,EDWIN,HOMBRE,672
155,TERESA,MUJER,421,,,155,LUIS ALBERTO,HOMBRE,672
156,CRISTINA,MUJER,418,,,156,ANGEL DE JESUS,HOMBRE,670
157,ASHLEY,MUJER,417,,,157,ULISES,HOMBRE,660
158,LIA SOFIA,MUJER,416,,,158,JOSE CARLOS,HOMBRE,648
