Step,AgentID,Wealth,Steps_not_given
3,63,1,0
3,9,0,2
3,44,0,1
3,57,0,0
3,40,4,0
3,37,0,1
3,16,0,1
3,11,0,0
3,85,1,0
3,50,1,0
3,17,1,0
3,73,2,0
3,2,2,0
3,66,0,0
3,61,1,0
3,84,0,1
3,78,1,3
3,75,0,1
3,92,0,1
3,77,2,0
3,93,0,0
3,64,0,2
3,65,2,0
3,72,0,2
3,42,1,1
3,41,0,0
3,6,2,1
3,69,1,1
3,14,1,0
3,76,1,0
3,59,0,2
3,82,2,0
3,7,2,2
3,81,0,2
3,22,2,0
3,0,0,0
3,18,0,1
3,15,0,2
3,87,1,0
3,55,0,2
3,20,0,2
3,86,2,1
3,52,1,2
3,54,0,0
3,19,2,3
3,45,3,1
3,96,0,0
3,26,4,2
3,32,0,0
3,94,2,1
3,70,0,1
3,35,0,0
3,28,2,0
4,19,2,4
4,61,2,1
4,71,0,2
4,43,3,4
4,68,0,0
4,57,0,1
4,44,1,2
4,67,1,0
4,95,2,0
4,59,0,3
4,75,0,2
4,4,2,4
4,40,5,0
4,60,1,2
4,81,0,3
4,28,2,1
4,48,1,2
4,18,0,2
4,94,2,0
4,80,1,0
4,15,0,3
4,12,0,0
4,38,1,1
4,29,0,2
4,70,0,2
4,32,0,1
4,13,2,0
4,84,0,2
4,73,1,0
4,90,3,2
4,51,0,1
4,79,0,3
4,41,1,1
4,62,1,1
4,0,0,1
4,20,0,3
4,45,2,0
4,30,1,1
4,27,2,0
4,76,1,0
4,21,2,0
4,72,0,3
4,99,4,0
4,14,1,0
4,83,2,0
4,49,0,3
4,24,1,3
4,78,1,0
4,5,0,3
4,77,2,1
4,22,1,0
4,50,1,0
4,92,0,2
4,85,2,1
4,1,1,1
4,34,0,0
4,23,3,1
4,25,0,1
4,11,0,1
4,69,0,0
4,39,1,3
4,89,1,0
4,33,1,0
4,87,1,0
4,54,0,1
4,96,0,1
4,55,0,3
4,53,1,0
4,6,2,0
4,98,2,0
4,16,0,2
4,17,1,0
4,47,0,2
4,52,1,3
4,2,1,0
4,88,0,1
4,91,3,0
4,64,0,3
4,63,2,0
4,65,3,1
4,35,0,1
4,82,2,1
4,3,2,1
4,36,0,1
4,93,1,1
4,56,2,0
4,66,0,1
4,26,3,0
4,7,2,3
4,46,0,2
4,97,0,0
4,10,2,0
4,37,0,2
4,9,0,3
4,86,3,0
4,74,1,0
4,42,0,0
